agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
Baseline,11,random,10,1.0,0.94,0.1,21.48,0.36892056081660485,0.3580471819639206,0.005121042830540037,100
Baseline,11,random,123,1.0,0.96,0.05,23.64,0.34801417561873216,0.3659236404299736,0.005499153976311337,100
Baseline,11,random,42,1.0,0.98,0.03,23.46,0.39331160906539736,0.3676265648007393,0.0029838022165387893,100
Baseline,11,random,456,1.0,0.96,0.07,24.06,0.3598887542123742,0.37770921021699905,0.0024937655860349127,100
Baseline,11,random,9,1.0,0.95,0.08,27.3,0.34894209335922854,0.3706328871846199,0.003663003663003663,100
PSS_Only_V0,11,random,10,1.0,0.99,0.01,27.04,0.3019157683207852,0.3691834056377411,0.007766272189349112,100
PSS_Only_V0,11,random,123,1.0,1.0,0.0,24.3,0.3915933079002305,0.3623678731918335,0.0049382716049382715,100
PSS_Only_V0,11,random,42,1.0,0.96,0.06,25.07,0.41777507830016536,0.36882113754749296,0.0031910650179497405,100
PSS_Only_V0,11,random,456,1.0,0.97,0.05,22.01,0.36673786254623625,0.37086404010653495,0.002271694684234439,100
PSS_Only_V0,11,random,9,1.0,0.97,0.03,22.37,0.46521782972420633,0.3683731412887573,0.0031291908806437194,100
PSS_Social,11,random,10,1.0,0.95,0.09,23.9,0.4017126726938257,0.36622349798679354,0.006276150627615063,100
PSS_Social,11,random,123,1.0,0.98,0.04,21.11,0.43399348592988624,0.37034666031599045,0.0047370914258645196,100
PSS_Social,11,random,42,1.0,0.97,0.05,21.51,0.487572618828735,0.3690764036774635,0.0018596001859600185,100
PSS_Social,11,random,456,1.0,0.93,0.1,23.17,0.3817765389614893,0.37002299934625626,0.002589555459646094,100
PSS_Social,11,random,9,1.0,0.98,0.02,28.26,0.3312780074006519,0.37552420765161515,0.006723283793347488,100
Baseline,13,random,10,1.0,0.97,0.03,25.37,0.4144633816532977,0.3602969112992287,0.005912495072920773,100
Baseline,13,random,123,1.0,0.93,0.14,26.09,0.4024279095394327,0.36103932052850723,0.0045994633959371405,100
Baseline,13,random,42,1.0,0.97,0.04,23.71,0.4295702148015635,0.36088356643915176,0.0025305778152678194,100
Baseline,13,random,456,0.99,0.96,0.05,24.64,0.36933350564467576,0.37215515539050104,0.006493506493506494,100
Baseline,13,random,9,1.0,0.94,0.09,26.79,0.3846366490075273,0.3573180611431599,0.0059723777528928705,100
PSS_Only_V0,13,random,10,1.0,0.97,0.05,29.29,0.3329509903257729,0.37299622982740405,0.0075110959371799246,100
PSS_Only_V0,13,random,123,1.0,0.95,0.11,26.43,0.44044321690764054,0.3525851871073246,0.004540295119182747,100
PSS_Only_V0,13,random,42,1.0,0.93,0.11,25.71,0.4425193785653212,0.36574326664209367,0.0027226760015558148,100
PSS_Only_V0,13,random,456,1.0,0.97,0.06,24.2,0.39748734361090665,0.3658644393086433,0.0049586776859504135,100
PSS_Only_V0,13,random,9,1.0,0.89,0.17,22.22,0.49953253061091923,0.35636610999703405,0.0031503150315031502,100
PSS_Social,13,random,10,1.0,0.97,0.03,27.43,0.4167561898218708,0.3718032771348953,0.006562158220925993,100
PSS_Social,13,random,123,1.0,0.94,0.08,25.66,0.4715415950409844,0.3581155240535736,0.0027279812938425566,100
PSS_Social,13,random,42,1.0,0.95,0.07,20.72,0.5069606441798531,0.3616386884450912,0.0009652509652509653,100
PSS_Social,13,random,456,1.0,0.97,0.04,25.77,0.3974983599202367,0.3724586221575737,0.006596818005432673,100
PSS_Social,13,random,9,1.0,0.94,0.08,28.38,0.3696740528434608,0.3593518501520157,0.005990133897110641,100
Baseline,15,random,10,1.0,0.97,0.03,27.4,0.44151119306951647,0.3521043765544891,0.0032846715328467154,100
Baseline,15,random,123,1.0,0.96,0.06,31.39,0.4653812006076687,0.35615953892469404,0.004778591908251036,100
Baseline,15,random,42,1.0,0.93,0.12,25.38,0.45572688899494224,0.3510006804764271,0.0035460992907801418,100
Baseline,15,random,456,1.0,0.95,0.06,31.8,0.3985904853234624,0.35446347564458847,0.006918238993710692,100
Baseline,15,random,9,1.0,0.97,0.08,31.83,0.4067181757054051,0.35832914695143697,0.002827521206409048,100
PSS_Only_V0,15,random,10,1.0,0.95,0.09,32.76,0.36286629524881897,0.3565794271230698,0.0057997557997558,100
PSS_Only_V0,15,random,123,0.99,0.88,0.19,31.94,0.4881517160160114,0.34906642720103265,0.00469630557294928,100
PSS_Only_V0,15,random,42,0.99,0.95,0.11,28.8,0.5036167286758532,0.3541173779964447,0.003472222222222222,100
PSS_Only_V0,15,random,456,1.0,0.93,0.26,29.61,0.4122343576438035,0.3462309968471527,0.004052684903748734,100
PSS_Only_V0,15,random,9,1.0,0.95,0.1,26.11,0.5183755623948901,0.35357781291007995,0.003063960168517809,100
PSS_Social,15,random,10,1.0,0.96,0.04,30.58,0.48845405768706357,0.3557192260026932,0.005559189012426423,100
PSS_Social,15,random,123,1.0,0.95,0.07,28.84,0.5425228244443049,0.35223533257842066,0.0006934812760055479,100
PSS_Social,15,random,42,1.0,0.92,0.15,23.14,0.5401053644195973,0.3443036088347435,0.00432152117545376,100
PSS_Social,15,random,456,1.0,0.92,0.1,30.31,0.43119628160571694,0.3512295100092888,0.003299241174529858,100
PSS_Social,15,random,9,1.0,0.99,0.02,33.67,0.39341531903005483,0.36320802628993987,0.007425007425007425,100
